A0-00 A1-00 A2-00 
A0-01 A1-01 A2-01 
A0-10 A1-10 A2-10 
A0-11 A1-11 A2-11 
A0-1010 A1-1010 A2-1010 
A0-01 A1-11 A2-01 
A0-01 A1-01 A2-11 
A0-0101 A1-0101 A2-0101 
A0-0101 A1-1111 A2-0101 
A0-10 A1-00 A2-10 
A0-0101 A1-1111 A2-1101 
A0-11 A1-10 A2-10 
A0-01 A1-00 A2-00 
A0-01010101 A1-01010101 A2-01010101 
A0-1111 A1-1111 A2-1111 
A0-01 A1-11 A2-11 
A0-0000 A1-0000 A2-0000 
A0-00 A1-10 A2-00 
A0-0101 A1-0101 A2-1111 
A0-00 A1-10 A2-10 
A0-10 A1-10 A2-11 
A0-0101 A1-0101 A2-0100 
A0-1010 A1-1010 A2-1000 
A0-11111111 A1-11111111 A2-11111111 
A0-01010101 A1-01010101 A2-11111111 
A0-0101 A1-1110 A2-1101 
A0-01 A1-00 A2-01 
A0-1010 A1-1010 A2-1100 
A0-00 A1-00 A2-10 
A0-1010 A1-1010 A2-1011 
A0-0101 A1-0101 A2-1101 
A0-01 A1-11 A2-00 
A0-10101010 A1-10101010 A2-10101010 
A0-0101 A1-0000 A2-0000 
A0-00000000 A1-00000000 A2-00000000 
A0-0001 A1-0101 A2-0101 
A0-01010101 A1-11111111 A2-11011101 
A0-10101010 A1-10101010 A2-10001000 
A0-10 A1-00 A2-00 
A0-1111 A1-1010 A2-1010 
A0-0000 A1-1010 A2-0000 
A0-1010 A1-1010 A2-1111 
A0-00 A1-00 A2-01 
A0-10111010 A1-10101010 A2-10001000 
A0-1010 A1-0000 A2-1010 
A0-11 A1-10 A2-11 
A0-1111 A1-1111 A2-1101 
A0-1010101010101010 A1-1010101010101010 A2-1000100010001000 
A0-10 A1-11 A2-11 
A0-1110 A1-1111 A2-1111 
A0-1111111111111111 A1-1111111111111111 A2-1111111111111111 
A0-1011101010111010 A1-1010101010101010 A2-1000100010001000 
A0-1011 A1-1010 A2-1010 
A0-1010 A1-1000 A2-1010 
A0-10101010 A1-10101010 A2-10111011 
A0-1010 A1-1010 A2-1110 
A0-1010 A1-0010 A2-1010 
